size,d,k,time,complexity factor,file size
1000,3,4,24.821,401.76E-06,0.029
1000,3,8,29.848,410.34E-06,0.029
1000,3,16,40.291,422.73E-06,0.029
1000,6,4,24.624,192.69E-06,0.058
1000,6,8,29.687,201.82E-06,0.058
1000,6,16,40.205,210.47E-06,0.058
1000,12,4,24.640,96.67E-06,0.116
1000,12,8,29.959,103.73E-06,0.116
1000,12,16,39.021,99.07E-06,0.115
10000,3,4,25.429,45.24E-06,0.285
10000,3,8,31.090,46.21E-06,0.291
10000,3,16,39.308,40.22E-06,0.290
10000,6,4,25.596,23.32E-06,0.582
10000,6,8,30.998,22.91E-06,0.581
10000,6,16,39.853,20.68E-06,0.578
10000,12,4,25.826,12.14E-06,1.161
10000,12,8,31.611,12.09E-06,1.155
10000,12,16,39.671,10.25E-06,1.152
100000,3,4,25.743,4.79E-06,2.666
100000,3,8,31.594,4.83E-06,2.726
100000,3,16,39.656,4.09E-06,2.717
100000,6,4,25.689,2.37E-06,5.452
100000,6,8,31.201,2.33E-06,5.433
100000,6,16,39.384,2.02E-06,5.403
100000,12,4,25.806,1.56E-06,10.867
100000,12,8,32.008,3.33E-06,10.806
100000,12,16,39.594,2.06E-06,10.773
500000,3,4,26.797,4.47E-06,13.222
500000,3,8,32.400,2.70E-06,13.524
500000,3,16,41.255,1.72E-06,13.476
500000,6,4,27.031,2.25E-06,27.047
500000,6,8,32.972,1.37E-06,26.952
500000,6,16,41.629,867.28E-09,26.798
500000,12,4,27.711,1.15E-06,53.906
500000,12,8,33.949,707.27E-09,53.598
500000,12,16,42.955,447.45E-09,53.433
1000000,3,4,27.889,2.32E-06,26.417
1000000,3,8,33.657,1.40E-06,27.020
1000000,3,16,42.509,885.60E-09,26.926
1000000,6,4,28.661,1.19E-06,54.041
1000000,6,8,34.411,716.90E-09,53.850
1000000,6,16,43.341,451.47E-09,53.544
1000000,12,4,29.856,621.99E-09,107.704
1000000,12,8,36.176,376.83E-09,107.092
1000000,12,16,45.062,234.70E-09,106.758
2000000,3,4,29.824,1.24E-06,52.806
2000000,3,8,36.538,761.20E-09,54.012
2000000,3,16,46.544,484.83E-09,53.826
2000000,6,4,31.355,653.22E-09,108.030
2000000,6,8,38.086,396.73E-09,107.649
2000000,6,16,48.582,253.03E-09,107.038
2000000,12,4,30.643,638.39E-09,215.300
2000000,12,8,37.321,388.76E-09,214.074
2000000,12,16,45.997,239.57E-09,213.413
3000000,3,4,32.212,894.79E-09,79.196
3000000,3,8,39.173,544.07E-09,81.009
3000000,3,16,49.289,342.29E-09,80.725
3000000,6,4,32.019,889.41E-09,162.016
3000000,6,8,38.689,537.35E-09,161.448
3000000,6,16,46.887,325.60E-09,160.527
3000000,12,4,32.686,680.96E-09,322.902
3000000,12,8,37.866,394.44E-09,321.058
3000000,12,16,50.266,261.80E-09,320.067
4000000,3,4,33.382,695.45E-09,105.587
4000000,3,8,40.590,422.81E-09,107.999
4000000,3,16,54.865,285.76E-09,107.626
4000000,6,4,31.526,656.79E-09,216.001
4000000,6,8,40.136,418.08E-09,215.249
4000000,6,16,49.327,256.91E-09,214.020
4000000,12,4,32.169,670.18E-09,430.494
4000000,12,8,38.077,396.63E-09,428.044
4000000,12,16,49.129,255.88E-09,426.720
5000000,3,4,34.895,1.16E-06,131.974
5000000,3,8,42.359,705.98E-09,134.994
5000000,3,16,56.712,472.60E-09,134.524
5000000,6,4,31.969,799.21E-09,269.991
5000000,6,8,38.381,479.76E-09,269.049
5000000,6,16,52.071,325.44E-09,267.509
