size,run,k,d,time,exit status
1000,1,3,12,192.01,0
1000,2,3,12,114.21,0
1000,3,3,12,141.98,0
10000,1,3,12,166.81,0
10000,2,3,12,242.59,0
10000,3,3,12,147.15,0
100000,1,3,12,169.67,0
100000,2,3,12,547.67,0
100000,3,3,12,147.31,0
500000,1,3,12,587.02,0
500000,2,3,12,587.70,0
500000,3,3,12,589.29,0
1000000,1,3,12,109.51,0
1000000,2,3,12,227.27,0
1000000,3,3,12,139.67,0
2000000,1,3,12,172.76,0
2000000,2,3,12,161.74,0
2000000,3,3,12,172.32,0
3000000,1,3,12,655.78,0
3000000,2,3,12,653.14,0
3000000,3,3,12,113.18,0
4000000,1,3,12,663.67,0
4000000,2,3,12,669.46,0
4000000,3,3,12,664.63,0
5000000,1,3,12,132.40,0
5000000,2,3,12,129.31,0
5000000,3,3,12,736.84,0
10000000,1,3,12,1135.63,0
10000000,2,3,12,191.72,0
10000000,3,3,12,1130.78,0
20000000,1,3,12,351.20,0
20000000,2,3,12,2102.10,0
20000000,3,3,12,449.11,0

