size,run,k,time,exit status
1000,1,3,348.92,0
1000,2,3,342.61,0
1000,3,3,343.67,0
1000,4,3,345.13,0
1000,5,3,345.82,0
10000,1,3,711.46,0
10000,2,3,715.28,0
10000,3,3,713.25,0
10000,4,3,712.03,0
10000,5,3,717.23,0
100000,1,3,696.34,0
100000,2,3,704.61,0
100000,3,3,694.59,0
100000,4,3,695.49,0
100000,5,3,696.13,0
1000000,1,3,839.11,0
1000000,2,3,849.35,0
1000000,3,3,843.62,0
1000000,4,3,837.30,0
1000000,5,3,840.05,0
5000000,1,3,1046.41,0
5000000,2,3,1041.43,0
5000000,3,3,1045.82,0
5000000,4,3,1037.11,0
5000000,5,3,1041.45,0
10000000,1,3,1061.51,0
10000000,2,3,1044.53,0
10000000,3,3,1046.76,0
10000000,4,3,1041.31,0
10000000,5,3,1048.46,0
50000000,1,3,3391.64,0
50000000,2,3,3407.33,0
50000000,3,3,3382.75,0
50000000,4,3,3399.71,0
50000000,5,3,3338.88,0
100000000,1,3,6700.26,0
100000000,2,3,6482.08,0
100000000,3,3,6650.11,0
100000000,4,3,6615.20,0
100000000,5,3,6715.34,0

